reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2026-05-09,wk inc rsv hosp,0,2026-05-09,10,quantile,0.85,7.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,10,quantile,0.9,8.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,10,quantile,0.95,9.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,10,quantile,0.975,11.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,10,quantile,0.99,20.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,11,quantile,0.01,0.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,11,quantile,0.025,0.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,11,quantile,0.05,0.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,11,quantile,0.1,0.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,11,quantile,0.15,0.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,11,quantile,0.2,0.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,11,quantile,0.25,0.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,11,quantile,0.3,0.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,11,quantile,0.35,0.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,11,quantile,0.4,0.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,11,quantile,0.45,0.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,11,quantile,0.5,0.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,11,quantile,0.55,0.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,11,quantile,0.6,0.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,11,quantile,0.65,0.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,11,quantile,0.7,0.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,11,quantile,0.75,0.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,11,quantile,0.8,0.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,11,quantile,0.85,1.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,11,quantile,0.9,1.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,11,quantile,0.95,1.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,11,quantile,0.975,2.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,11,quantile,0.99,4.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,12,quantile,0.01,14.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,12,quantile,0.025,49.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,12,quantile,0.05,71.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,12,quantile,0.1,81.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,12,quantile,0.15,86.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,12,quantile,0.2,91.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,12,quantile,0.25,94.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,12,quantile,0.3,96.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,12,quantile,0.35,100.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,12,quantile,0.4,102.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,12,quantile,0.45,103.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,12,quantile,0.5,105.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,12,quantile,0.55,108.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,12,quantile,0.6,111.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,12,quantile,0.65,112.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,12,quantile,0.7,119.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,12,quantile,0.75,120.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,12,quantile,0.8,122.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,12,quantile,0.85,131.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,12,quantile,0.9,154.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,12,quantile,0.95,156.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,12,quantile,0.975,186.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,12,quantile,0.99,251.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,13,quantile,0.01,3.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,13,quantile,0.025,9.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,13,quantile,0.05,10.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,13,quantile,0.1,11.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,13,quantile,0.15,12.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,13,quantile,0.2,14.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,13,quantile,0.25,14.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,13,quantile,0.3,16.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,13,quantile,0.35,16.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,13,quantile,0.4,17.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,13,quantile,0.45,18.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,13,quantile,0.5,18.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,13,quantile,0.55,19.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,13,quantile,0.6,21.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,13,quantile,0.65,22.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,13,quantile,0.7,22.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,13,quantile,0.75,24.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,13,quantile,0.8,26.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,13,quantile,0.85,31.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,13,quantile,0.9,32.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,13,quantile,0.95,36.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,13,quantile,0.975,48.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,13,quantile,0.99,84.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,15,quantile,0.01,1.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,15,quantile,0.025,2.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,15,quantile,0.05,3.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,15,quantile,0.1,4.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,15,quantile,0.15,4.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,15,quantile,0.2,5.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,15,quantile,0.25,5.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,15,quantile,0.3,5.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,15,quantile,0.35,6.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,15,quantile,0.4,6.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,15,quantile,0.45,7.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,15,quantile,0.5,8.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,15,quantile,0.55,9.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,15,quantile,0.6,9.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,15,quantile,0.65,9.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,15,quantile,0.7,10.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,15,quantile,0.75,10.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,15,quantile,0.8,12.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,15,quantile,0.85,14.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,15,quantile,0.9,15.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,15,quantile,0.95,17.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,15,quantile,0.975,19.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,15,quantile,0.99,29.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,16,quantile,0.01,1.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,16,quantile,0.025,1.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,16,quantile,0.05,2.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,16,quantile,0.1,2.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,16,quantile,0.15,2.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,16,quantile,0.2,3.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,16,quantile,0.25,4.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,16,quantile,0.3,4.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,16,quantile,0.35,5.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,16,quantile,0.4,5.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,16,quantile,0.45,5.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,16,quantile,0.5,6.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,16,quantile,0.55,6.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,16,quantile,0.6,6.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,16,quantile,0.65,7.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,16,quantile,0.7,8.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,16,quantile,0.75,8.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,16,quantile,0.8,9.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,16,quantile,0.85,11.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,16,quantile,0.9,12.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,16,quantile,0.95,17.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,16,quantile,0.975,23.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,16,quantile,0.99,38.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,17,quantile,0.01,12.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,17,quantile,0.025,38.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,17,quantile,0.05,43.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,17,quantile,0.1,46.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,17,quantile,0.15,46.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,17,quantile,0.2,50.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,17,quantile,0.25,51.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,17,quantile,0.3,52.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,17,quantile,0.35,55.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,17,quantile,0.4,57.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,17,quantile,0.45,58.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,17,quantile,0.5,58.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,17,quantile,0.55,61.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,17,quantile,0.6,63.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,17,quantile,0.65,66.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,17,quantile,0.7,70.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,17,quantile,0.75,76.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,17,quantile,0.8,77.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,17,quantile,0.85,88.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,17,quantile,0.9,97.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,17,quantile,0.95,106.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,17,quantile,0.975,139.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,17,quantile,0.99,193.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,18,quantile,0.01,7.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,18,quantile,0.025,22.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,18,quantile,0.05,26.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,18,quantile,0.1,27.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,18,quantile,0.15,30.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,18,quantile,0.2,30.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,18,quantile,0.25,33.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,18,quantile,0.3,34.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,18,quantile,0.35,35.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,18,quantile,0.4,36.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,18,quantile,0.45,36.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,18,quantile,0.5,37.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,18,quantile,0.55,37.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,18,quantile,0.6,39.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,18,quantile,0.65,40.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,18,quantile,0.7,41.0
