output_type,output_type_id,value,reference_date,target,horizon,target_end_date,location
quantile,0.5,0.0010537755389902538,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,12
quantile,0.55,0.0010701797113885016,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,12
quantile,0.6,0.0010865723647020382,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,12
quantile,0.65,0.0011046992422659907,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,12
quantile,0.7,0.0011224905652815623,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,12
quantile,0.75,0.0011426293170435048,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,12
quantile,0.8,0.0011671446520451004,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,12
quantile,0.85,0.0011931613371155472,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,12
quantile,0.9,0.0012295382471203837,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,12
quantile,0.95,0.0012896763175447045,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,12
quantile,0.975,0.0013377805223591642,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,12
quantile,0.99,0.001409230354047999,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,12
quantile,0.01,1.8262990550288336e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,13
quantile,0.025,2.1446925946629023e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,13
quantile,0.05,2.4512983283716763e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,13
quantile,0.1,2.804852515883957e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,13
quantile,0.15,3.000152984849748e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,13
quantile,0.2,3.1876015216697647e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,13
quantile,0.25,3.3548126106796135e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,13
quantile,0.3,3.509851168082832e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,13
quantile,0.35,3.661313465179372e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,13
quantile,0.4,3.795183994126848e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,13
quantile,0.45,3.9435543902707206e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,13
quantile,0.5,4.067852715851685e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,13
quantile,0.55,4.2184584830705244e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,13
quantile,0.6,4.351857814011785e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,13
quantile,0.65,4.516745411302655e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,13
quantile,0.7,4.729855721682595e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,13
quantile,0.75,4.91711344064133e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,13
quantile,0.8,5.137728771805205e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,13
quantile,0.85,5.383094512428072e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,13
quantile,0.9,5.724927592954014e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,13
quantile,0.95,6.186148111870694e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,13
quantile,0.975,6.685443854048609e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,13
quantile,0.99,7.372522097762442e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,13
quantile,0.01,0.001248535458568651,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,15
quantile,0.025,0.0014719378201412643,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,15
quantile,0.05,0.0016164461089691073,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,15
quantile,0.1,0.0018621350019937723,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,15
quantile,0.15,0.0020267146324222224,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,15
quantile,0.2,0.0021424007936646514,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,15
quantile,0.25,0.0022513851021378865,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,15
quantile,0.3,0.002362652754820868,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,15
quantile,0.35,0.0024654182368167897,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,15
quantile,0.4,0.0025695118756029513,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,15
quantile,0.45,0.002661118360991925,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,15
quantile,0.5,0.0027605367230687915,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,15
quantile,0.55,0.0028399351063526086,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,15
quantile,0.6,0.002933515521291649,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,15
quantile,0.65,0.003063423183990364,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,15
quantile,0.7,0.003204359306703647,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,15
