reference_date,location,horizon,target,target_end_date,output_type,output_type_id,value
2026-05-02,04,3,wk inc rsv hosp,2026-05-23,quantile,0.85,30.5
2026-05-02,04,3,wk inc rsv hosp,2026-05-23,quantile,0.9,33.5
2026-05-02,04,3,wk inc rsv hosp,2026-05-23,quantile,0.95,41.5
2026-05-02,04,3,wk inc rsv hosp,2026-05-23,quantile,0.975,52.5
2026-05-02,04,3,wk inc rsv hosp,2026-05-23,quantile,0.99,74.5
2026-05-02,05,0,wk inc rsv hosp,2026-05-02,quantile,0.01,1
2026-05-02,05,0,wk inc rsv hosp,2026-05-02,quantile,0.025,1.5
2026-05-02,05,0,wk inc rsv hosp,2026-05-02,quantile,0.05,2
2026-05-02,05,0,wk inc rsv hosp,2026-05-02,quantile,0.1,3
2026-05-02,05,0,wk inc rsv hosp,2026-05-02,quantile,0.15,3
2026-05-02,05,0,wk inc rsv hosp,2026-05-02,quantile,0.2,4
2026-05-02,05,0,wk inc rsv hosp,2026-05-02,quantile,0.25,4
2026-05-02,05,0,wk inc rsv hosp,2026-05-02,quantile,0.3,5
2026-05-02,05,0,wk inc rsv hosp,2026-05-02,quantile,0.35,6
2026-05-02,05,0,wk inc rsv hosp,2026-05-02,quantile,0.4,6
2026-05-02,05,0,wk inc rsv hosp,2026-05-02,quantile,0.45,6
2026-05-02,05,0,wk inc rsv hosp,2026-05-02,quantile,0.5,7
2026-05-02,05,0,wk inc rsv hosp,2026-05-02,quantile,0.55,7
2026-05-02,05,0,wk inc rsv hosp,2026-05-02,quantile,0.6,8
2026-05-02,05,0,wk inc rsv hosp,2026-05-02,quantile,0.65,8.5
2026-05-02,05,0,wk inc rsv hosp,2026-05-02,quantile,0.7,9
2026-05-02,05,0,wk inc rsv hosp,2026-05-02,quantile,0.75,10
2026-05-02,05,0,wk inc rsv hosp,2026-05-02,quantile,0.8,11
2026-05-02,05,0,wk inc rsv hosp,2026-05-02,quantile,0.85,12
2026-05-02,05,0,wk inc rsv hosp,2026-05-02,quantile,0.9,14
2026-05-02,05,0,wk inc rsv hosp,2026-05-02,quantile,0.95,17
2026-05-02,05,0,wk inc rsv hosp,2026-05-02,quantile,0.975,19
2026-05-02,05,0,wk inc rsv hosp,2026-05-02,quantile,0.99,23
2026-05-02,05,1,wk inc rsv hosp,2026-05-09,quantile,0.01,1
2026-05-02,05,1,wk inc rsv hosp,2026-05-09,quantile,0.025,1
2026-05-02,05,1,wk inc rsv hosp,2026-05-09,quantile,0.05,1
2026-05-02,05,1,wk inc rsv hosp,2026-05-09,quantile,0.1,2
2026-05-02,05,1,wk inc rsv hosp,2026-05-09,quantile,0.15,2
2026-05-02,05,1,wk inc rsv hosp,2026-05-09,quantile,0.2,3
2026-05-02,05,1,wk inc rsv hosp,2026-05-09,quantile,0.25,3
2026-05-02,05,1,wk inc rsv hosp,2026-05-09,quantile,0.3,3
2026-05-02,05,1,wk inc rsv hosp,2026-05-09,quantile,0.35,4
